# bitcoin dns seeds and whois results
IP Address|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.1.162.34|23969|1.1.160.0/20|TH|apnic|2011-04-08|TOT-NET TOT Public Company Limited, TH
103.85.38.205|134090|103.85.36.0/22|AU|apnic|2017-02-06|XINTEGRATION-AS-AP X INTEGRATION PTY LTD, AU
104.166.89.122|46261|104.166.64.0/19|US|arin|2014-08-12|QUICKPACKET, US
104.248.162.68|14061|104.248.160.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
107.181.189.34|46562|107.181.189.0/24|US|arin|2014-02-14|PERFORMIVE, US
13.210.184.202|16509|13.210.0.0/15|US|arin|2019-10-01|AMAZON-02, US
13.53.123.164|16509|13.53.0.0/16|US|arin|2020-08-05|AMAZON-02, US
13.55.65.255|16509|13.54.0.0/15|US|arin|2020-08-05|AMAZON-02, US
136.25.7.97|19165|136.25.0.0/17|US|arin|2016-10-31|WEBPASS, US
136.32.240.6|16591|136.32.240.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
143.110.252.127|14061|143.110.240.0/20|US|arin|2020-01-17|DIGITALOCEAN-ASN, US
148.251.87.112|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE
15.185.209.73|16509|15.185.0.0/16|US|arin|2021-01-28|AMAZON-02, US
15.188.90.0|16509|15.188.0.0/16|US|arin|2021-01-28|AMAZON-02, US
151.76.83.58|1267|151.76.0.0/16|IT|ripencc|1991-05-13|ASN-WINDTRE IUNET, IT
151.80.42.140|16276|151.80.0.0/16|IT|ripencc|1991-05-13|OVH, FR
155.254.132.247|394660|155.254.132.0/24|US|arin|2015-04-13|CHOICETEL-ER, US
156.146.137.142|1448|156.146.128.0/18|US|arin|2020-04-08|UNITED-BROADBAND, US
157.143.18.10|8758|157.143.0.0/17|CH|ripencc|1992-01-08|IWAY, CH
160.16.110.6|9370|160.16.0.0/17|JP|apnic|1992-06-10|SAKURA-B SAKURA Internet Inc., JP
162.55.237.204|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE
167.235.225.125|24940|167.235.0.0/16|DE|ripencc|1993-11-19|HETZNER-AS, DE
167.99.45.32|14061|167.99.32.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
171.7.34.125|45758|171.7.0.0/16|TH|apnic|2011-03-07|TTBP-AS-AP Triple T Broadband Public Company Limited, TH
172.105.21.216|63949|172.105.0.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
173.212.245.138|51167|173.212.240.0/21|DE|ripencc|2009-10-26|CONTABO, DE
173.225.110.108|19318|173.225.96.0/20|US|arin|2016-06-02|IS-AS-1, US
173.31.2.65|30036|173.31.2.0/24|US|arin|2008-05-19|MEDIACOM-ENTERPRISE-BUSINESS, US
173.76.3.70|701|173.76.0.0/16|US|arin|2008-08-11|UUNET, US
174.21.177.127|209|174.21.0.0/16|US|arin|2009-02-17|CENTURYLINK-US-LEGACY-QWEST, US
176.126.167.10|59684|176.126.167.0/24|KG|ripencc|2012-09-14|ASHOSTER, KG
176.9.84.209|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.142.29.93|9145|178.142.0.0/16|DE|ripencc|2010-05-03|EWETEL Cloppenburger Strasse 310, DE
178.248.255.79|48926|178.248.248.0/21|CZ|ripencc|2010-05-14|PE3NY-AS, CZ
178.27.135.49|3209|178.24.0.0/14|DE|ripencc|2010-02-17|VODANET International IP-Backbone of Vodafone, DE
178.78.243.147|33885|178.78.192.0/18|SE|ripencc|2010-04-28|OWNIT Katarinavagen 15, SE
18.156.110.70|16509|18.156.0.0/14|US|arin|2019-10-07|AMAZON-02, US
18.181.40.228|16509|18.180.0.0/15|US|arin|2019-10-07|AMAZON-02, US
185.100.87.172|200651|185.100.87.0/24|SC|ripencc|2015-05-15|FLOKINET, SC
185.239.220.210|61282|185.239.220.0/22|SE|ripencc|2018-12-03|BRAINMILL, SE
185.244.100.106|202635|185.244.100.0/22|EE|ripencc|2018-02-01|SERVERFARM, EE
188.122.2.55|49743|188.122.0.0/20|PL|ripencc|2009-05-14|FINEMEDIA-WROCLAW, PL
188.150.105.7|1257|188.148.0.0/14|SE|ripencc|2009-08-03|TELE2, EU
188.22.21.84|8447|188.20.0.0/14|AT|ripencc|2009-02-03|A1TELEKOM-AT A1 Telekom Austria AG, AT
189.91.153.96|264485|189.91.153.0/24|BR|lacnic|2009-03-31|M. COELHO M. LIMA SERVICOS DE TELECOMUNICACAO - ME, BR
190.2.134.140|49981|190.2.128.0/20|CW|lacnic|2006-04-28|WORLDSTREAM, NL
193.80.39.72|1901|193.80.0.0/15|AT|ripencc|1993-09-01|EUNETAT-AS A1 Telekom Austria AG, AT
194.103.157.169|206774|194.103.157.0/24|SE|ripencc|1994-10-19|INETBOLAGET, SE
194.135.135.69|25227|194.135.135.0/24|RU|ripencc|1995-02-06|ASN-AVANTEL-MSK Located in Moscow, Russia., RU
195.201.207.43|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
195.214.133.15|34984|195.214.133.0/24|TR|ripencc|1999-03-17|TELLCOM-AS, TR
198.1.231.6|30236|198.1.224.0/21|CA|arin|2013-04-17|CRONOMAGIC-1, CA
198.58.118.99|63949|198.58.96.0/19|US|arin|2012-08-10|LINODE-AP Linode, LLC, US
2.229.239.77|12874|2.224.0.0/13|IT|ripencc|2010-12-30|FASTWEB, IT
217.145.94.94|20665|217.145.80.0/20|BG|ripencc|2004-04-06|VARNANET-AS, BG
217.180.221.162|30600|217.180.192.0/19|US|arin|2020-01-02|AS-CMN, US
23.175.0.222|395502|23.175.0.0/24|US|arin|2016-10-26|JCOLO, US
3.120.189.78|16509|3.120.0.0/14|US|arin|2017-12-20|AMAZON-02, US
3.137.106.139|16509|3.136.0.0/13|US|arin|2018-06-25|AMAZON-02, US
3.34.180.213|16509|3.34.0.0/15|US|arin|2017-12-20|AMAZON-02, US
3.35.166.20|16509|3.34.0.0/15|US|arin|2017-12-20|AMAZON-02, US
3.37.69.205|16509|3.36.0.0/14|US|arin|2017-12-20|AMAZON-02, US
31.31.119.65|6876|31.31.96.0/19|UA|ripencc|2011-03-18|TENET-AS, UA
31.42.176.138|43641|31.42.176.0/23|PL|ripencc|2011-02-23|SOLLUTIUM-NL, PL
34.207.108.183|14618|34.192.0.0/12|US|arin|2016-09-12|AMAZON-AES, US
34.95.39.53|396982|34.95.32.0/20|US|arin|2018-09-28|GOOGLE-CLOUD-PLATFORM, US
35.180.187.229|16509|35.180.0.0/16|US|arin|2016-08-09|AMAZON-02, US
35.228.210.96|396982|35.228.208.0/20|US|arin|2017-09-29|GOOGLE-CLOUD-PLATFORM, US
37.143.116.43|48926|37.143.112.0/21|CZ|ripencc|2012-03-02|PE3NY-AS, CZ
38.242.210.141|51167|38.242.208.0/20|US|arin|1991-04-16|CONTABO, DE
38.87.54.162|174|38.87.54.0/23|US|arin|1991-04-16|COGENT-174, US
41.96.153.149|36947|41.96.0.0/16|DZ|afrinic|2009-05-04|ALGTEL-AS, DZ
46.150.173.75|49106|46.150.160.0/19|RU|ripencc|2010-11-15|OPTICOM-AS, CZ
47.198.204.108|5650|47.196.0.0/14|US|arin|2015-08-28|FRONTIER-FRTR, US
47.74.84.115|45102|47.74.64.0/19|US|arin|2016-03-17|ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN
5.100.131.208|42652|5.100.128.0/20|DE|ripencc|2012-06-25|DELUNET, DE
5.188.62.18|34665|5.188.62.0/24|RU|ripencc|2012-08-09|PINDC-AS, RU
51.195.136.233|16276|51.195.0.0/16|FR|ripencc|1993-09-01|OVH, FR
52.39.135.220|16509|52.36.0.0/14|US|arin|1991-12-19|AMAZON-02, US
59.167.191.60|4739|59.167.0.0/16|AU|apnic|2005-09-14|INTERNODE-AS Internode Pty Ltd, AU
61.26.90.62|9824|61.26.0.0/17|JP|apnic|2001-07-12|JTCL-JP-AS JCOM Co., Ltd., JP
63.32.190.132|16509|63.32.0.0/14|US|arin|2018-01-10|AMAZON-02, US
64.71.74.75|13886|64.71.74.0/24|US|arin|2015-02-23|CLOUD-SOUTH, US
65.108.21.113|24940|65.108.0.0/16|DE|ripencc|2001-02-09|HETZNER-AS, DE
65.108.78.160|24940|65.108.0.0/16|DE|ripencc|2001-02-09|HETZNER-AS, DE
68.8.136.42|22773|68.8.0.0/16|US|arin|2001-11-12|ASN-CXA-ALL-CCI-22773-RDC, US
69.196.169.225|5645|69.196.128.0/18|CA|arin|2008-03-12|TEKSAVVY, CA
71.172.211.25|701|71.172.0.0/16|US|arin|2005-06-01|UUNET, US
74.81.6.213|395846|74.81.0.0/19|US|arin|2008-08-01|DIRECTCOMID, US
77.58.160.43|6830|77.58.0.0/15|CH|ripencc|2006-10-19|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
79.242.154.63|3320|79.192.0.0/10|DE|ripencc|2007-06-06|DTAG Internet service provider operations, DE
79.249.37.88|3320|79.192.0.0/10|DE|ripencc|2007-06-06|DTAG Internet service provider operations, DE
81.170.255.240|8473|81.170.128.0/17|SE|ripencc|2003-05-12|BAHNHOF www.bahnhof.net, SE
81.6.45.19|13030|81.6.32.0/20|CH|ripencc|2002-06-13|INIT7, CH
81.83.52.42|6848|81.82.0.0/15|BE|ripencc|2002-04-29|TELENET-AS, BE
84.226.99.83|6730|84.226.0.0/15|CH|ripencc|2004-07-02|SUNRISE, CH
84.75.28.247|6830|84.74.0.0/15|CH|ripencc|2004-04-02|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
84.85.227.8|1136|84.80.0.0/13|NL|ripencc|2004-03-17|KPN KPN National, NL
85.208.71.39|42275|85.208.71.0/24|FR|ripencc|2019-02-21|THREEFOURTEEN, FR
85.214.90.161|6724|85.214.0.0/15|DE|ripencc|2005-02-24|STRATO STRATO AG, DE
85.215.9.88|6786|85.215.0.0/19|DE|ripencc|2005-02-24|CRONON-BERLIN-AS, DE
85.23.24.123|16086|85.23.0.0/16|FI|ripencc|2005-04-06|DNA, FI
86.127.233.20|57269|86.127.224.0/19|RO|ripencc|2005-03-16|DIGISPAINTELECOM, ES
86.88.27.123|1136|86.80.0.0/12|NL|ripencc|2005-03-23|KPN KPN National, NL
88.112.17.120|719|88.112.0.0/14|FI|ripencc|2005-08-24|ELISA-AS Helsinki, Finland, FI
88.207.124.229|31012|88.207.0.0/17|HR|ripencc|2005-12-14|DCM-AS Vipnet d.o.o., HR
88.99.4.50|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
89.176.135.136|16019|89.176.0.0/16|CZ|ripencc|2006-03-16|VODAFONE-CZ-AS, CZ
90.187.177.97|3209|90.187.0.0/16|DE|ripencc|2006-11-09|VODANET International IP-Backbone of Vodafone, DE
91.208.162.105|200019|91.208.162.0/24|MD|ripencc|2019-11-07|ALEXHOST, MD
91.210.183.14|48304|91.210.180.0/22|SK|ripencc|2008-11-10|DIGMIA-AS1JBDI-RIPE, SK
94.198.51.129|56694|94.198.50.0/23|EE|ripencc|2008-10-21|SMARTAPE, RU
95.161.12.45|39598|95.161.0.0/19|AG|ripencc|2008-12-23|TIERA-AS, AG
95.31.196.15|8402|95.31.196.0/24|RU|ripencc|2008-10-10|CORBINA-AS OJSC Vimpelcom, RU
96.227.218.113|701|96.227.0.0/16|US|arin|2006-12-29|UUNET, US
98.118.252.5|701|98.118.240.0/20|US|arin|2008-04-02|UUNET, US
98.126.28.74|35908|98.126.28.0/24|US|arin|2008-06-10|VPLSNET, US
