# https://chainz.cryptoid.info/ and whois results
# 42-coin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
139.99.196.131|/Satoshi:0.11.0/|60019|16276|139.99.128.0/17|CA|arin|2016-09-09|OVH, FR
147.135.210.113|/Satoshi:0.11.0/|60019|16276|147.135.128.0/17|FR|ripencc|2017-03-22|OVH, FR
158.255.249.72|/Satoshi:0.11.1.1/|60019|51653|158.255.249.0/24|SK|ripencc|2011-11-16|PRESNET-AS, SK
173.216.88.59|/Satoshi:0.11.1.4/|60019|19108|173.216.0.0/16|US|arin|2009-09-16|SUDDENLINK-COMMUNICATIONS, US
176.57.189.38|/Satoshi:0.10.0.4/|60019|51167|176.57.189.0/24|DE|ripencc|2011-06-01|CONTABO, DE
181.214.227.25|/Satoshi:0.11.1.1/|60019|212238|181.214.227.0/24|AE|ripencc|2014-05-29|CDNEXT, GB
185.237.216.209|/Satoshi:0.11.1.4/|60019|212994|185.237.216.0/24|UA|ripencc|2017-12-20|EUROLINK, UA
212.252.118.93|/Satoshi:0.11.1.1/|60019|34984|212.252.116.0/22|TR|ripencc|1998-03-19|TELLCOM-AS, TR
219.100.37.238|/Satoshi:0.11.1/|60019|36599|219.100.37.0/24|JP|apnic|2002-03-07|SOFTETHER-AMERICA, US
23.233.55.92|/Satoshi:0.11.1/|60019|5645|23.233.0.0/17|CA|arin|2013-09-24|TEKSAVVY, CA
31.133.53.152|/Satoshi:0.11.1/|60019|202279|31.133.53.0/24|RU|ripencc|2011-04-15|KOMTEL-DPR-AS, UA
31.133.54.235|/Satoshi:0.11.1/|60019|202279|31.133.54.0/24|RU|ripencc|2011-04-15|KOMTEL-DPR-AS, UA
39.99.142.121|/Satoshi:0.11.0.4/|60019|37963|39.96.0.0/14|CN|apnic|2011-04-05|ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN
49.245.30.102|/Satoshi:0.7.7.1/|60019|4773|49.245.0.0/19|SG|apnic|2010-11-11|MOBILEONELTD-AS-AP MobileOne Ltd. MobileInternet Service Provider Singapore, SG
51.79.145.189|/Satoshi:0.11.0/|60019|16276|51.79.128.0/17|CA|arin|2019-01-10|OVH, FR
66.70.191.185|/Satoshi:0.11.0/|60019|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
69.61.172.31|/Satoshi:0.11.1.1/|60019|6181|69.61.128.0/18|US|arin|2004-08-04|FUSE-NET, US
72.189.24.66|/Satoshi:0.11.1.1/|60019|33363|72.188.0.0/15|US|arin|2005-11-21|BHN-33363, US
82.64.206.9|/Satoshi:0.11.0.4/|60019|12322|82.64.0.0/14|FR|ripencc|2003-04-03|PROXAD, FR
86.162.24.45|/Satoshi:0.11.0.3/|60019|2856|86.128.0.0/10|GB|ripencc|2005-02-07|BT-UK-AS BTnet UK Regional network, GB
88.131.213.108|/Satoshi:0.7.7.1/|60019|1257|88.131.0.0/16|SE|ripencc|2005-10-24|TELE2, EU
88.99.68.228|/Satoshi:0.11.1.4/|60019|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
89.163.242.207|/Satoshi:0.11.1.1/|60019|24961|89.163.128.0/17|DE|ripencc|2006-02-17|MYLOC-AS IP Backbone of myLoc managed IT AG, DE
93.190.23.114|/Satoshi:0.11.1.4/|60019|47586|93.190.16.0/21|RU|ripencc|2008-05-08|BUSINESS-SVYAZ, RU
