# https://chainz.cryptoid.info/ and whois results
# Bean Cash
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.233.50.131|/Bean Core:1.3.2.1/|60015||||||
102.65.112.63|/Bean Core:1.1.2.2/|60014||||||
104.40.147.34|/Bean Core:1.3.2/|60015||||||
107.15.220.153|/Bean Core:1.3.2/|60015||||||
111.105.20.99|/Bean Core:1.1.2.2/|60014||||||
111.237.111.228|/Bean Core:1.3.2.1/|60015||||||
111.58.173.21|/Bean Core:1.3.2.1/|60015||||||
116.203.82.110|/Bean Core:1.3.1/|60015||||||
120.23.45.64|/Bean Core:1.1.2.2/|60014||||||
122.36.21.19|/Bean Core:1.3.2.1/|60015||||||
124.182.41.253|/Bean Core:1.3.2/|60015||||||
126.103.179.52|/Bean Core:1.3.2.1/|60015||||||
129.222.185.96|/Bean Core:1.1.0/|60014||||||
129.222.191.74|/Bean Core:1.1.0/|60014||||||
13.209.243.246|/Bean Core:1.1.2.2/|60014||||||
13.88.29.127|/Satoshi:1.0.0/|60013||||||
133.201.145.96|/Bean Core:1.1.2.2/|60014||||||
138.75.38.232|/Bean Core:1.3.2.1/|60015||||||
138.75.38.57|/Bean Core:1.3.2.1/|60015||||||
14.161.34.194|/Bean Core:1.3.1/|60015||||||
141.134.67.144|/Bean Core:1.3.2.1/|60015||||||
142.165.82.189|/Bean Core:1.3.2.1/|60015||||||
144.76.101.126|/Bean Core:1.3.2.1/|60015||||||
15.165.142.140|/Bean Core:1.3.2.1/|60015||||||
159.196.219.68|/Bean Core:1.3.2.1/|60015||||||
162.220.205.207|/Bean Core:1.1.2.2/|60014||||||
162.246.125.157|/Bean Core:1.1.1/|60014||||||
165.0.110.183|/Bean Core:1.3.2/|60015||||||
166.182.251.84|/Bean Core:1.3.2.1/|60015||||||
166.182.255.5|/Bean Core:1.3.2.1/|60015||||||
166.182.80.75|/Bean Core:1.3.2.1/|60015||||||
167.86.80.97|/Bean Core:1.3.2.1/|60015||||||
172.5.231.22|/Bean Core:1.3.1/|60015||||||
174.61.186.41|/Bean Core:1.3.2.1/|60015||||||
175.213.148.72|/Bean Core:1.3.2/|60015||||||
175.39.90.6|/Bean Core:1.3.2.1/|60015||||||
176.199.208.101|/Bean Core:1.1.2.2/|60014||||||
176.59.15.73|/Bean Core:1.1.2.2/|60014||||||
178.155.24.34|/Bean Core:1.3.2.1/|60015||||||
178.18.254.147|/Bean Core:1.3.2.1/|60015||||||
178.18.254.148|/Bean Core:1.3.2.1/|60015||||||
178.26.129.70|/Bean Core:1.3.2.1/|60015||||||
180.83.239.48|/Bean Core:1.1.0/|60014||||||
183.176.154.129|/Bean Core:1.3.2.1/|60015||||||
183.89.24.49|/Bean Core:1.3.2.1/|60015||||||
185.100.86.6|/Bean Core:1.3.2.1/|60015||||||
185.117.74.45|/Bean Core:1.3.1/|60015||||||
185.247.69.194|/Bean Core:1.3.2.1/|60015||||||
185.247.69.66|/Bean Core:1.3.2.1/|60015||||||
188.26.214.139|/Bean Core:1.3.2.1/|60015||||||
192.228.58.157|/Bean Core:1.3.2.1/|60015||||||
194.146.234.29|/Bean Core:1.3.2.1/|60015||||||
194.230.148.206|/Bean Core:1.1.2.2/|60014||||||
195.158.248.84|/Bean Core:1.3.2.1/|60015||||||
198.53.209.217|/Bean Core:1.3.2.1/|60015||||||
200.236.254.148|/Bean Core:1.3.2.1/|60015||||||
