# https://chainz.cryptoid.info/ and whois results
# CureCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.107.199.165|/Curecoin:2.0.0.2/|60009|137409|103.107.199.0/24|AU|apnic|2018-01-17|GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.240.52.49|/Curecoin:2.1.0.1/|60009|38319|103.240.52.0/22|NZ|apnic|2013-08-09|LINCOLN-UNIVERSITY-NZ Lincoln University, Canterbury, New Zealand, NZ
104.180.63.128|/Curecoin:2.0.0.2/|60009|7018|104.176.0.0/12|US|arin|2014-08-12|ATT-INTERNET4, US
104.248.58.241|/Curecoin:2.1.0.1/|60009|14061|104.248.48.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
105.213.159.88|/Curecoin:2.0.0.2/|60009|16637|105.208.0.0/12|ZA|afrinic|2012-10-09|MTNNS-AS, ZA
108.24.78.213|/Curecoin:2.0.0.2/|60009|701|108.24.0.0/16|US|arin|2009-06-05|UUNET, US
108.73.13.78|/Curecoin:2.1.0.1/|60009|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
109.147.199.144|/Curecoin:2.0.0.2/|60009|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.151.61.213|/Curecoin:2.0.0.2/|60009|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.153.13.111|/Curecoin:2.1.0.1/|60009|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
116.199.89.8|/Curecoin:2.0.0.2/|60009|17622|116.199.64.0/18|CN|apnic|2007-04-17|CNCGROUP-GZ China Unicom Guangzhou network, CN
119.12.234.224|/Curecoin:2.0.0.2/|60009|15704|119.12.234.0/23|ES|ripencc|2007-11-26|AS15704, ES
124.149.34.185|/Curecoin:2.0.0.2/|60009|7545|124.149.32.0/19|AU|apnic|2006-03-02|TPG-INTERNET-AP TPG Telecom Limited, AU
124.150.78.221|/Curecoin:2.1.0.1/|60009|7545|124.150.72.0/21|AU|apnic|2006-03-02|TPG-INTERNET-AP TPG Telecom Limited, AU
124.171.36.39|/Curecoin:2.0.0.2/|60009|7545|124.171.36.0/22|AU|apnic|2007-06-15|TPG-INTERNET-AP TPG Telecom Limited, AU
124.50.77.50|/Curecoin:2.1.0.1/|60009|17858|124.48.0.0/13|KR|apnic|2005-12-21|POWERVIS-AS-KR LG POWERCOMM, KR
13.48.30.126|/Curecoin:2.1.0.1/|60009|16509|13.48.0.0/15|US|arin|2020-08-05|AMAZON-02, US
134.41.32.235|/Curecoin:2.1.0.1/|60009|855|134.41.32.0/22|CA|arin|2016-11-08|CANET-ASN-4, CA
136.158.0.240|/Curecoin:2.0.0.2/|60009|17639|136.158.0.0/22|PH|apnic|2004-04-14|CONVERGE-AS Converge ICT Solutions Inc., PH
136.50.173.71|/Curecoin:2.1.0.1/|60009|16591|136.50.160.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
136.56.45.44|/Curecoin:2.1.0.1/|60009|16591|136.56.32.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
138.197.211.36|/Curecoin:2.1.0.1/|60009|14061|138.197.208.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
14.11.162.225|/Curecoin:2.0.0.2/|60009|2516|14.10.0.0/15|JP|apnic|2010-08-17|KDDI KDDI CORPORATION, JP
142.93.157.120|/Curecoin:2.0.0.2/|60009|14061|142.93.144.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
144.76.87.212|/Curecoin:2.1.0.1/|60009|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE
145.14.38.4|/Curecoin:2.1.0.1/|60009|2586|145.14.32.0/20|EE|ripencc|1993-09-01|UNINET-AS Sopruse pst 145, EE
147.192.80.253|/Curecoin:2.0.0.2/|60009|2527|147.192.0.0/16|JP|apnic|1991-07-08|SO-NET Sony Network Communications Inc., JP
155.4.221.164|/Curecoin:2.0.0.2/|60009|8473|155.4.0.0/16|NO|ripencc|1991-10-30|BAHNHOF www.bahnhof.net, SE
156.146.51.65|/Curecoin:2.0.0.2/|60009|212238|156.146.51.0/24|GB|ripencc|1990-02-05|CDNEXT, GB
156.146.51.66|/Curecoin:2.0.0.2/|60009|212238|156.146.51.0/24|GB|ripencc|1990-02-05|CDNEXT, GB
156.146.51.67|/Curecoin:2.0.0.2/|60009|212238|156.146.51.0/24|GB|ripencc|1990-02-05|CDNEXT, GB
156.146.51.79|/Curecoin:2.0.0.2/|60009|212238|156.146.51.0/24|GB|ripencc|1990-02-05|CDNEXT, GB
16.170.249.139|/Curecoin:2.1.0.1/|60009|16509|16.170.0.0/15|US|arin|2020-01-28|AMAZON-02, US
161.35.115.185|/Curecoin:2.1.0.1/|60009|14061|161.35.112.0/20|US|arin|2019-07-30|DIGITALOCEAN-ASN, US
172.58.59.201|/Curecoin:2.1.0.1/|60009|21928|172.58.56.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.74.111.11|/Curecoin:2.0.0.2/|60009|11426|172.72.0.0/14|US|arin|2015-04-06|TWC-11426-CAROLINAS, US
172.9.91.80|/Curecoin:2.0.0.2/|60009|7018|172.0.0.0/12|US|arin|2012-08-20|ATT-INTERNET4, US
173.79.187.60|/Curecoin:2.0.0.2/|60009|701|173.79.0.0/16|US|arin|2008-08-11|UUNET, US
174.127.208.131|/Curecoin:2.1.0.1/|60009|54858|174.127.208.0/21|US|arin|2009-05-04|AS-SBI, US
174.65.197.253|/Curecoin:2.0.0.2/|60009|22773|174.65.0.0/16|US|arin|2009-02-19|ASN-CXA-ALL-CCI-22773-RDC, US
174.67.33.118|/Curecoin:2.0.0.2/|60009|22773|174.67.32.0/19|US|arin|2009-02-19|ASN-CXA-ALL-CCI-22773-RDC, US
174.72.29.114|/Curecoin:2.0.0.1/|60009|22773|174.72.0.0/17|US|arin|2009-02-19|ASN-CXA-ALL-CCI-22773-RDC, US
178.197.208.253|/Curecoin:2.0.0.2/|60009|3303|178.196.0.0/15|CH|ripencc|2010-02-24|SWISSCOM Swisscom Switzerland Ltd, CH
178.232.107.247|/Curecoin:2.0.0.2/|60009|41164|178.232.0.0/16|NO|ripencc|2010-05-06|GET-NO GET Norway, NO
180.150.38.35|/Curecoin:2.0.0.2/|60009|4764|180.150.36.0/22|AU|apnic|2009-09-01|WIDEBAND-AS-AP Aussie Broadband, AU
181.46.136.97|/Curecoin:2.1.0.1/|60009|27747|181.46.128.0/20|AR|lacnic|2011-12-15|Telecentro S.A., AR
185.128.24.203|/Curecoin:2.0.0.2/|60009|9009|185.128.24.0/24|RO|ripencc|2018-01-02|M247, GB
185.220.100.242|/Curecoin:2.0.0.2/|60009|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
187.101.36.6|/Curecoin:2.1.0.1/|60009|27699|187.100.0.0/15|BR|lacnic|2009-10-30|TELEFONICA BRASIL S.A, BR
188.167.250.56|/Curecoin:2.0.0.2/|60009|6830|188.167.128.0/17|SK|ripencc|2009-06-11|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
188.241.83.107|/Curecoin:2.1.0.1/|60009|9009|188.241.83.0/24|RO|ripencc|2009-06-23|M247, GB
193.126.248.60|/Curecoin:2.1.0.1/|60009|2860|193.126.128.0/17|PT|ripencc|1995-06-09|NOS_COMUNICACOES, PT
198.27.173.238|/Curecoin:2.0.0.2/|60009|46375|198.27.128.0/17|US|arin|2012-10-02|AS-SONICTELECOM, US
200.192.211.54|/Curecoin:2.0.0.2/|60009|11835|200.192.210.0/23|BR|lacnic|1999-11-18|NOVA FIBRA TELECOM S.A., BR
213.122.249.11|/Curecoin:2.0.0.2/|60009|2856|213.120.0.0/14|GB|ripencc|2000-03-30|BT-UK-AS BTnet UK Regional network, GB
