# https://chainz.cryptoid.info/ and whois results
# GoldCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
102.89.38.114|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.105.34.91|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.133.56.221|/GoldcoinCore:0.14.8/|70015||||||
103.135.227.254|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.136.58.78|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.144.90.6|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.146.31.76|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.165.156.16|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.17.246.225|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.195.58.250|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
103.88.170.110|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
107.152.42.126|/GoldcoinCore:0.14.8/|70015||||||
108.228.223.25|/GoldcoinCore:0.14.8/|70015||||||
110.137.81.18|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
111.94.188.181|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
112.215.219.24|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
112.215.220.208|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.10.22.189|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.10.67.247|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.122.105.158|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.122.106.188|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.122.140.246|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.122.180.187|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.125.207.112|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.1/|70000|23693|114.125.192.0/19|ID|apnic|2008-05-22|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
114.5.102.252|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.5.217.8|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.79.0.143|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
114.79.55.92|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
116.203.37.96|/GoldcoinCore:0.14.8/|70015||||||
116.206.13.164|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
120.188.93.31|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
125.162.210.161|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
125.164.235.170|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
139.180.181.92|/GoldcoinCore:0.14.8/|70015||||||
140.213.127.168|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
140.213.138.148|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
140.213.147.1|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
140.213.15.254|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
140.213.232.56|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
140.213.56.188|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
142.132.205.123|/GoldcoinCore:0.14.8/|70015||||||
144.91.116.146|/GoldcoinCore:0.14.8/|70015||||||
144.91.82.187|/GoldcoinCore:0.14.8/|70015||||||
147.135.97.55|/GoldcoinCore:0.14.8/|70015||||||
149.56.155.28|/GoldcoinCore:0.14.8/|70015||||||
154.6.147.15|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
158.140.172.66|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
161.97.187.4|/GoldcoinCore:0.14.7/|70015|51167|161.97.184.0/22|DE|ripencc|1992-06-23|CONTABO, DE
167.88.117.138|/GoldcoinCore:0.14.8/|70015||||||
168.235.108.149|/GoldcoinCore:0.14.8/|70015||||||
172.124.243.95|/GoldcoinCore:0.14.8/|70015||||||
180.241.189.69|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.0/|70000|7713|180.241.176.0/20|ID|apnic|2009-10-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
180.241.34.200|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
180.242.235.21|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
180.244.128.111|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
180.244.132.227|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.0/|70000|7713|180.244.128.0/20|ID|apnic|2009-10-20|TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID
180.244.167.231|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
180.249.186.75|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
180.249.65.105|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
180.252.112.123|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
180.254.170.112|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
182.1.109.23|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
182.1.213.14|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
182.2.36.125|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
182.2.9.175|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
182.3.38.160|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
182.3.68.79|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
182.3.70.76|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
183.171.122.238|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
184.170.241.143|/GoldcoinCore:0.14.8/|70015||||||
185.210.143.65|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
185.52.0.211|/GoldcoinCore:0.14.8/|70015||||||
188.25.99.2|/GoldcoinCore:0.14.8/|70015|8708|188.24.0.0/15|RO|ripencc|2009-02-11|RCS-RDS 73-75 Dr. Staicovici, RO
188.34.161.186|/GoldcoinCore:0.14.8/|70015|24940|188.34.128.0/17|DE|ripencc|2009-03-19|HETZNER-AS, DE
192.222.139.154|/GoldcoinCore:0.14.8/|70015||||||
193.32.202.89|/GoldcoinCore:0.14.8/|70015|60731|193.32.202.0/24|RU|ripencc|2018-10-18|CONNECTO, RU
197.210.70.230|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
198.211.45.20|/GoldcoinCore:0.14.8/|70015|35916|198.211.0.0/18|US|arin|2013-04-02|MULTA-ASN1, US
213.202.253.14|/GoldcoinCore:0.14.7/|70015||||||
23.227.150.229|/GoldcoinCore:0.14.8/|70015||||||
31.25.241.224|/GoldcoinCore:0.14.8/|70015||||||
36.80.99.229|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
36.81.103.186|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
36.83.155.220|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
36.90.58.121|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
45.153.35.147|/GoldcoinCore:0.14.8/|70015||||||
45.38.179.248|/GoldcoinCore:0.14.8/|70015|147049|45.38.179.0/24|US|arin|2015-03-18|PACKETHUBSA-AS-AP PacketHub S.A., AU
49.165.120.21|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
5.188.104.245|/GoldcoinCore:0.14.8/|70015||||||
5.3.124.200|/GoldcoinCore:0.14.8/|70015||||||
51.83.186.57|/GoldcoinCore:0.14.8/|70015||||||
54.190.176.135|/GoldcoinCore:0.14.7/|70015|16509|54.190.0.0/16|US|arin|2014-10-23|AMAZON-02, US
64.180.68.103|/GoldcoinCore:0.14.8/|70015|852|64.180.0.0/16|CA|arin|2000-08-04|TELUS Communications, CA
68.51.186.128|/GoldcoinCore:0.14.5/|70015|7922|68.32.0.0/11|US|arin|2001-11-29|COMCAST-7922, US
70.91.250.149|/GoldcoinCore:0.14.7/|70015||||||
80.65.23.139|/GoldcoinCore:0.14.8/|70015||||||
81.4.101.247|/GoldcoinCore:0.14.8/|70015|198203|81.4.100.0/22|NL|ripencc|2002-05-10|ASN-ROUTELABEL, NL
82.132.215.54|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
82.200.205.30|/GoldcoinCore:0.14.8/|70015||||||
83.221.211.116|/GoldcoinCore:0.14.8/|70015||||||
85.19.25.38|/GoldcoinCore:0.14.8/|70015||||||
86.100.49.209|/GoldcoinCore:0.14.7/|70015||||||
88.99.68.228|/GoldcoinCore:0.14.8/|70015||||||
89.40.26.30|/GoldcoinCore:0.14.8/|70015||||||
89.64.113.23|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000||||||
91.202.26.23|/GoldcoinCore:0.14.8/|70015|43727|91.202.24.0/22|RU|ripencc|2008-01-30|KVANT-TELECOM, RU
91.204.115.161|/GoldcoinCore:0.14.8/|70015||||||
95.180.52.150|/GoldcoinCore:0.14.8/|70015|31042|95.180.0.0/17|RS|ripencc|2009-01-23|SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o., RS
95.217.78.80|/GoldcoinCore:0.14.8/|70015||||||
97.76.210.20|/GoldcoinCore:0.14.8/|70015|33363|97.76.210.0/24|US|arin|2007-09-11|BHN-33363, US
