# https://chainz.cryptoid.info/ and whois results
# SexCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
142.132.205.123|/SexcoinCore:0.15.2.2/|70015||||||
144.76.222.140|/SexcoinCore:0.15.2.2/|70015|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE
147.135.97.55|/SexcoinCore:0.15.2.2/|70015||||||
151.20.134.157|/SexcoinCore:0.15.2.2/|70015||||||
151.20.138.38|/SexcoinCore:0.15.2.2/|70015||||||
157.161.128.51|/SexcoinCore:0.15.2.2/|70015||||||
173.212.202.33|/SexcoinCore:0.15.2.2/|70015|51167|173.212.192.0/19|DE|ripencc|2009-10-26|CONTABO, DE
188.36.203.193|/SexcoinCore:0.15.2.2/|70015|5483|188.36.0.0/16|HU|ripencc|2009-03-27|MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt., HU
193.70.35.157|/SexcoinCore:0.15.2.2/|70015||||||
194.166.173.151|/SexcoinCore:0.15.2/|70015||||||
195.218.19.241|/SexcoinCore:0.15.2.2/|70015||||||
23.233.55.92|/SexcoinDNP:0.15.2.2/|70015||||||
34.231.68.33|/SexcoinCore:0.15.2.1/|70015||||||
46.101.235.143|/SexcoinCore:0.15.2.2/|70015|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
62.171.138.11|/SexcoinCore:0.15.2.2/|70015||||||
66.172.11.190|/SexcoinCore:0.13.3.7/|70015||||||
67.43.1.184|/SexcoinCore:0.15.2.1/|70015|32244|67.43.0.0/20|US|arin|2004-03-08|LIQUIDWEB, US
82.66.94.6|/SexcoinCore:0.15.2.2/|70015||||||
85.15.179.171|/SexcoinCore:0.15.2.2/|70015|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
85.19.25.38|/SexcoinCore:0.15.2.2/|70015||||||
86.100.49.209|/SexcoinCore:0.15.2.2/|70015||||||
88.99.68.228|/SexcoinCore:0.15.2.2/|70015|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
89.233.108.211|/SexcoinCore:0.15.2.2/|70015||||||
90.52.34.237|/SexcoinCore:0.15.2.2/|70015||||||
91.206.16.214|/SexcoinCore:0.15.2.2/|70015|13259|91.206.16.0/23|RU|ripencc|2008-06-09|DELTA-TELESYSTEMS-AS, RU
92.251.120.107|/SexcoinCore:0.15.2.1/|70015|12709|92.251.96.0/19|MT|ripencc|2007-11-23|MELITACABLE, MT
95.110.133.223|/SexcoinCore:0.15.2.2/|70015||||||
95.217.78.81|/SexcoinCore:0.15.2.2/|70015||||||
