# https://chainz.cryptoid.info/ and whois results
# Terracoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.131.160.119|/Terracoin Core:0.12.2.5/|70208||||||
104.131.180.71|/Terracoin Core:0.12.2.5/|70208||||||
104.236.183.29|/Terracoin Core:0.12.2.5/|70208||||||
104.236.60.15|/Terracoin Core:0.12.2.5/|70208||||||
104.236.89.11|/Terracoin Core:0.12.2.5/|70208||||||
107.170.238.241|/Terracoin Core:0.12.2.5/|70208||||||
107.173.67.39|/Terracoin Core:0.12.2.5/|70208||||||
109.248.12.68|/Terracoin Core:0.12.2.5/|70208||||||
109.248.128.68|/Terracoin Core:0.12.2.5/|70208||||||
109.248.138.102|/Terracoin Core:0.12.2.5/|70208||||||
109.248.142.29|/Terracoin Core:0.12.2.5/|70208||||||
109.248.143.157|/Terracoin Core:0.12.2.5/|70208||||||
109.248.143.248|/Terracoin Core:0.12.2.5/|70208||||||
109.248.143.34|/Terracoin Core:0.12.2.5/|70208||||||
109.248.15.244|/Terracoin Core:0.12.2.5/|70208||||||
109.248.15.37|/Terracoin Core:0.12.2.5/|70208||||||
109.248.15.96|/Terracoin Core:0.12.2.5/|70208||||||
109.248.166.155|/Terracoin Core:0.12.2.5/|70208||||||
109.248.166.60|/Terracoin Core:0.12.2.5/|70208||||||
109.248.167.12|/Terracoin Core:0.12.2.5/|70208||||||
109.248.204.241|/Terracoin Core:0.12.2.5/|70208||||||
109.248.205.71|/Terracoin Core:0.12.2.5/|70208||||||
109.248.48.203|/Terracoin Core:0.12.2.5/|70208||||||
109.248.48.93|/Terracoin Core:0.12.2.5/|70208||||||
109.248.49.40|/Terracoin Core:0.12.2.5/|70208||||||
109.248.54.59|/Terracoin Core:0.12.2.5/|70208||||||
109.248.55.109|/Terracoin Core:0.12.2.5/|70208||||||
109.248.55.148|/Terracoin Core:0.12.2.5/|70208||||||
109.248.55.152|/Terracoin Core:0.12.2.5/|70208||||||
109.248.55.37|/Terracoin Core:0.12.2.5/|70208||||||
130.255.10.254|/Terracoin Core:0.12.2.5/|70208||||||
137.74.94.192|/Terracoin Core:0.12.2.5/|70208||||||
140.227.212.112|/Terracoin Core:0.12.2.4/|70208||||||
144.91.116.146|/Terracoin Core:0.12.2.5/|70208||||||
149.56.155.28|/Terracoin Core:0.12.2.5/|70208||||||
158.51.99.249|/Terracoin Core:0.12.2.4/|70208||||||
164.68.110.226|/Terracoin Core:0.12.2.5/|70208||||||
167.86.111.204|/Terracoin Core:0.12.2.5/|70208||||||
173.230.133.77|/Terracoin Core:0.12.2.5/|70208||||||
176.58.104.46|/Terracoin Core:0.12.2.5/|70208||||||
178.159.58.4|/Terracoin Core:0.12.2.5/|70208||||||
185.181.244.22|/Terracoin Core:0.12.2.5/|70208||||||
185.181.244.81|/Terracoin Core:0.12.2.5/|70208||||||
185.181.244.84|/Terracoin Core:0.12.2.5/|70208||||||
185.181.246.138|/Terracoin Core:0.12.2.5/|70208||||||
185.181.246.143|/Terracoin Core:0.12.2.5/|70208||||||
185.181.247.171|/Terracoin Core:0.12.2.5/|70208||||||
185.189.13.80|/Terracoin Core:0.12.2.5/|70208||||||
188.130.128.158|/Terracoin Core:0.12.2.5/|70208||||||
188.130.128.218|/Terracoin Core:0.12.2.5/|70208||||||
188.130.129.140|/Terracoin Core:0.12.2.5/|70208||||||
188.130.129.151|/Terracoin Core:0.12.2.5/|70208||||||
188.130.129.197|/Terracoin Core:0.12.2.5/|70208||||||
188.130.129.198|/Terracoin Core:0.12.2.5/|70208||||||
188.130.129.237|/Terracoin Core:0.12.2.5/|70208||||||
188.130.129.250|/Terracoin Core:0.12.2.5/|70208||||||
188.130.136.55|/Terracoin Core:0.12.2.5/|70208||||||
188.130.142.238|/Terracoin Core:0.12.2.5/|70208||||||
188.130.143.6|/Terracoin Core:0.12.2.5/|70208||||||
188.130.184.141|/Terracoin Core:0.12.2.5/|70208||||||
188.130.184.225|/Terracoin Core:0.12.2.5/|70208||||||
188.130.186.131|/Terracoin Core:0.12.2.5/|70208||||||
188.130.187.43|/Terracoin Core:0.12.2.5/|70208||||||
188.130.189.128|/Terracoin Core:0.12.2.5/|70208||||||
188.130.211.197|/Terracoin Core:0.12.2.5/|70208||||||
188.130.211.230|/Terracoin Core:0.12.2.5/|70208||||||
188.130.218.249|/Terracoin Core:0.12.2.5/|70208||||||
188.130.219.139|/Terracoin Core:0.12.2.5/|70208||||||
188.130.219.176|/Terracoin Core:0.12.2.5/|70208||||||
188.40.85.214|/Terracoin Core:0.12.2.5/|70208||||||
192.241.217.126|/Terracoin Core:0.12.2.5/|70208||||||
