# https://chainz.cryptoid.info/ and whois results
# Vcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.248.40.132|/VersaCoin:0.17.2/|70015|14061|104.248.32.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US
116.202.84.180|/VersaCoin:0.17.2/|70015|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
12.146.254.210|/VersaCoin:0.17.2/|70015|7018|12.128.0.0/9|US|arin|1983-08-23|ATT-INTERNET4, US
144.126.135.34|/VersaCoin:0.17.2/|70015|40021|144.126.128.0/20|US|arin|2021-03-16|CONTABO, US
164.90.194.85|/VersaCoin:0.17.2/|70015|14061|164.90.192.0/20|US|arin|2019-08-19|DIGITALOCEAN-ASN, US
167.172.39.72|/VersaCoin:0.17.2/|70015|14061|167.172.32.0/20|US|ripencc|1993-08-30|DIGITALOCEAN-ASN, US
167.71.4.123|/VersaCoin:0.17.2/|70015|14061|167.71.0.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
168.235.104.19|/VersaCoin:0.17.2/|70015|3842|168.235.104.0/22|US|arin|2014-06-26|RAMNODE, US
194.163.173.70|/VersaCoin:0.17.2/|70015|51167|194.163.128.0/18|DE|ripencc|1995-05-16|CONTABO, DE
27.3.9.43|/VersaCoin:0.17.2/|70015|45543|27.3.0.0/20|VN|apnic|2010-03-11|SCTV-AS-VN SaiGon Tourist cable Televition Company, VN
45.38.179.230|/VersaCoin:0.17.2/|70015|147049|45.38.179.0/24|US|arin|2015-03-18|PACKETHUBSA-AS-AP PacketHub S.A., AU
68.196.72.174|/VersaCoin:0.17.2/|70015|6128|68.196.0.0/14|US|arin|2003-01-29|CABLE-NET-1, US
79.98.27.181|/VersaCoin:0.17.2/|70015|212531|79.98.24.0/21|LT|ripencc|2007-10-23|INTERNETO-VIZIJA, LT
81.22.36.184|/VersaCoin:0.17.2/|70015|136787|81.22.36.0/24|DE|ripencc|2018-08-17|TEFINCOMSA-AS-AP TEFINCOM S.A., PA
86.100.49.209|/VersaCoin:0.17.2/|70015|39007|86.100.0.0/17|LT|ripencc|2005-05-23|BALTICUM-TV-AS, LT
